bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Fashion & Wearables","/explore/fashion-wearables","/projects/size-inclusive-clothing-for-goths-geeks","2017-06-18T23:59:59-07:00","USD","500","0.033333333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/u0ngrnzahgrme6w3agkj.jpg","false","false","null","2017-04-19T15:41:12-07:00","null","null","null","null","concept","2094515","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help Valkyrie Apparel manufacture clothing that comes in regular and plus sizes at no extra cost.","[""other""]","Size Inclusive Clothing for Goths & Geeks"
"null","Environment","/explore/environment","/projects/buzz-bikes","2016-12-27T23:59:59-08:00","USD","35","0.011666666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/olajoyivqtgpuqlu5as5.jpg","false","false","null","2016-11-27T12:18:44-08:00","null","null","null","null","null","1921322","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","An electric motorcycle that is fun and easy to ride.","[""motorcycles"",""solar"",""batteries"",""bikes""]","Buzz Bikes"
"null","Audio","/explore/audio","/projects/le-pave-parisien-wireless-concrete-audio-speaker","2018-06-03T23:59:59-07:00","EUR","48885","1.5915","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ksjgscxwtybdxoxvqmna.jpg","false","false","null","2018-06-02T23:59:59-07:00","null","null","null","null","concept","2379812","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Le Pavé Parisien is a concrete nomade speaker made in Paris, France
Powerful & Bluetooth Speaker","[""speakers"",""design"",""bluetooth"",""wireless"",""iot""]","Le Pave Parisien - Wireless Concrete Audio Speaker"
"null","Productivity","/explore/productivity","/projects/world-s-smallest-all-in-one-biometric-id-wallet","2019-05-11T23:59:59-07:00","USD","832","0.01664","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/b0m4prbcyhow0xyuwxsr.jpg","false","false","null","2019-03-12T00:00:00-07:00","null","null","null","null","concept","2087653","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Digital Identification, Credit Cards, Cashless Money transfer, 911 with Medical Storage, GPS, Wi-Fi","[""wallets"",""wireless"",""security"",""crypto"",""smart phones""]","World's Smallest All In One Biometric ID Wallet"
"null","Phones & Accessories","/explore/phones-accessories","/projects/the-solsol-revolution-is-here","2016-02-19T23:59:59-08:00","USD","2784","0.2784","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/vcwddjkcucnjtrulfvf9.jpg","false","false","null","2015-12-21T11:38:44-08:00","null","null","null","null","null","1562223","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","SOLSOL, Solar hat keeps your smart devices charged up and helps reduce our carbon footprint.","[""sports"",""solar""]","The SOLSOL Revolution Is Here!"
"null","Art","/explore/art","/projects/send-the-oberlin-college-slam-team-to-cupsi-2016","2015-12-02T23:59:59-08:00","USD","2152","0.226526315789","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/m9is3stzrfhwqhz3imon.jpg","false","false","null","2015-10-03T15:29:42-07:00","null","null","null","null","null","1446114","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","We are OSlam Poetry. We believe in the word, the heart, and the beat, and we need your help.","[""other""]","Send the Oberlin College Slam Team to CUPSI 2016!"
"null","Wellness","/explore/wellness","/projects/homeless-prenatal-program-yoga-teacher-training--2","2017-11-20T23:59:59-08:00","USD","776","0.03104","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/lbifprttcoxchns4we5j.jpg","false","false","null","2017-09-21T18:00:42-07:00","null","null","null","null","null","2013545","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Support a community-based movement that harnesses the power of yoga to build resilience!","[""yoga"",""social innovations""]","Homeless Prenatal Program Yoga Teacher Training "
"null","Culture","/explore/culture","/projects/el-medh-message-for-freedom","2019-05-28T23:59:59-07:00","USD","2550","0.255","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/oc8nw2xukzsr4ktpxeii.jpg","false","false","null","2019-04-28T00:00:00-07:00","null","null","null","null","null","2495821","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","El-medh is transfiguration of man when he struggles against his  pains and transfers them into hymns","[""festival""]","El-Medh Message for Freedom"
"null","Music","/explore/music","/projects/jason-simonds-and-the-wicked-blues-band-debut-cd","2017-02-04T23:59:59-08:00","USD","382","0.1528","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/uiigyrkbzjhknnieadyd.jpg","false","false","null","2016-12-06T13:42:26-08:00","null","null","null","null","null","1679068","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","You Can Help Jason and the Wicked Blues Band Record Their Debut Album!  Get Back CDs and More!","[""other""]","Jason Simonds and the Wicked Blues Band Debut CD"
"null","Local Businesses","/explore/local-businesses","/projects/pascua-s-bbq-sauce-and-seasoning","2015-10-23T23:59:59-07:00","USD","30","0.0015","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/cjczem3gmgh4qro8jgiz.jpg","false","false","null","2015-08-24T16:59:07-07:00","null","null","null","null","null","1408047","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Thank You","[""other""]","Pascua's BBQ Sauce and Seasoning"
"null","Home","/explore/home","/projects/enviro-wee","2019-06-14T23:59:59-07:00","USD","351","0.00702","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/fxr2hweydw7prewic8af.jpg","false","false","null","2019-04-15T00:00:00-07:00","null","null","null","null","null","2471666","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Water efficient home urinal - save the planet while saving money","[""water""]","Enviro-Wee"
"null","Home","/explore/home","/projects/balance-brush-say-goodbye-to-the-swamp","2017-07-13T23:59:59-07:00","USD","877","0.046157894737","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ivnuk0mikyvrudg1cqqc.jpg","false","false","null","2017-05-14T13:41:06-07:00","null","null","null","null","prototype","2078830","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A unique over-bowl dry design puts an end to the swampy toilet brush forever!","[""other""]","Balance Brush - Say goodbye to the swamp!"
"null","Phones & Accessories","/explore/phones-accessories","/projects/hyperdrive-usb-c-hub-for-macbook-pro-2016-2017","2017-01-16T23:59:59-08:00","USD","3146300","18.42141","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ebfni9eewmhtcyuhzzi5.jpg","true","false","null","2017-01-15T23:59:59-08:00","null","null","null","null","shipping","2009101","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Fastest 50Gb/s hub for USB-C MacBook Pro 2016/2017. Adds HDMI, 2 x USB-C, microSD, SD, 2 x USB 3.1","[""other""]","HyperDrive USB-C Hub for MacBook Pro 2016 2017"
"null","Phones & Accessories","/explore/phones-accessories","/projects/webforgroups-your-own-private-world-awaits","2015-05-22T23:59:59-07:00","USD","77","0.0077","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/t6rzqoavq5unuuyxmiax.jpg","false","false","null","2015-03-25T21:49:42-07:00","null","null","null","null","null","1197115","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Your own Private World awaits ...","[""other""]","WebForGroups, Your own Private World awaits ..."
"null","Phones & Accessories","/explore/phones-accessories","/projects/ledflip-reversible-micro-usb-with-led-charging","2016-02-22T23:59:59-08:00","USD","30","0.006","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/fvilqbqbfvzoxkn8bpxo.jpg","false","false","null","2016-01-18T02:23:51-08:00","null","null","null","null","null","1591628","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Smart Reversible Micro USB LED Charging","[""other""]","LedFlip: Reversible Micro USB With LED Charging"
"null","Health & Fitness","/explore/health-fitness","/projects/spirgrips-plus-a-better-way-to-bike","2020-10-14T23:59:59-07:00","EUR","164212","4.133263157895","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/flp2dggkceiuo5hfddlg.jpg","true","false","null","2020-10-13T23:59:59-07:00","null","null","null","null","concept","2632078","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The revolutionary bike handles designed to improve ergonomics while you ride your bike.","[""bikes"",""design"",""e-bikes"",""sports""]","SPIRGRIPS PLUS - A better way to bike!"
"null","Camera Gear","/explore/camera-gear","/projects/saxon-s-first-camera","2013-05-10T23:59:59-07:00","USD","0","0","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/scwnfhjlr30tvxsdetv0.jpg","false","false","null","2013-03-21T13:42:45-07:00","null","null","null","null","null","365123","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Please help me raise money for my first camera. =D","[""other""]","Saxon's first camera"
"null","Film","/explore/film","/projects/the-feud-a-nyu-thesis-film-by-archie-repin","2019-03-20T23:59:59-07:00","USD","2833","0.472166666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/onj5esdc0nyeftqgpobw.jpg","false","false","null","2019-02-28T00:00:00-08:00","null","null","null","null","null","2474674","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Two feuding families attempt to make peace at the double-funeral of their patriarchs.","[""short film"",""drama"",""comedy"",""students"",""indie""]","The Feud - A NYU Thesis Film by Archie Repin"
"null","Audio","/explore/audio","/projects/air-one-next-generation-of-wireless-earphones","2017-10-07T23:59:59-07:00","USD","1944","0.0648","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/rnvwvouucvpxb3qpfrue.jpg","false","false","null","2017-09-07T14:54:33-07:00","null","null","null","null","concept","2198664","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Ultralight Design | Carbon Nanotube | Single Button Control | Built-in mic | Portable Charging Box","[""wireless"",""earbuds""]","Air One: Next Generation of Wireless Earphones"
